caption_idx,caption,ground_truth_image,actual_rank_of_gt,gt_score,top1_score,score_gap,predicted_top3_images,predicted_top3_scores
0,a child playing on a rope net,1007320043_627395c3d8.jpg,3,0.6907,0.7111,0.0205,"['514222303_cb98584536.jpg', '3454988449_1de1ef4f20.jpg', '1007320043_627395c3d8.jpg']","[0.7111, 0.7027, 0.6907]"
1,a little girl climbing on red roping,1007320043_627395c3d8.jpg,3,0.7376,0.762,0.0243,"['444057017_f1e0fcaef7.jpg', '493109089_468e105233.jpg', '1007320043_627395c3d8.jpg']","[0.762, 0.7591, 0.7376]"
2,a little girl in pink climbs a rope bridge at the park,1007320043_627395c3d8.jpg,-1,0.6402,0.771,0.1307,"['1424237335_b3be9920ba.jpg', '510510783_b2cf5d57bb.jpg', '514222303_cb98584536.jpg']","[0.771, 0.7695, 0.7651]"
6,a black dog has a blue toy in its mouth,1026685415_0431cbf574.jpg,2,0.7973,0.816,0.0187,"['428796930_476a3d6395.jpg', '1026685415_0431cbf574.jpg', '320093980_5388cb3733.jpg']","[0.816, 0.7973, 0.7241]"
7,a dog in grass with a blue item in his mouth,1026685415_0431cbf574.jpg,8,0.6394,0.7575,0.1181,"['2505360288_c972bd29c4.jpg', '1346529555_e916816cfe.jpg', '3559781965_d4ec00e506.jpg']","[0.7575, 0.7277, 0.6656]"
9,a black dog carrying something through the grass,1026685415_0431cbf574.jpg,2,0.8652,0.8742,0.009,"['283428775_a3665bee7c.jpg', '1026685415_0431cbf574.jpg', '2445783904_e6c38a3a3d.jpg']","[0.8742, 0.8652, 0.8303]"
10,a guy stands by a window taking his overshirt off,1057210460_09c6f4c6c1.jpg,-1,0.5836,0.7838,0.2002,"['432167214_c17fcc1a2d.jpg', '1429723917_6af585e4c0.jpg', '2328104318_5a43ca170c.jpg']","[0.7838, 0.7075, 0.6669]"
12,a man puts his shirt on near an elevator,1057210460_09c6f4c6c1.jpg,-1,0.4339,0.7115,0.2777,"['374103842_17873ce505.jpg', '518789868_8895ef8792.jpg', '2891961886_b7a2f0b0fd.jpg']","[0.7115, 0.7083, 0.6722]"
13,a man stands by an elevator with his head down,1057210460_09c6f4c6c1.jpg,-1,0.5089,0.7783,0.2694,"['1418019748_51c7d59c11.jpg', '1429723917_6af585e4c0.jpg', '3066338314_2c3fb731d1.jpg']","[0.7783, 0.7121, 0.6264]"
14,the man is putting on his shirt near an elevator,1057210460_09c6f4c6c1.jpg,-1,0.5555,0.7648,0.2092,"['2328104318_5a43ca170c.jpg', '3495490064_8db40a83af.jpg', '1860543210_47e94cf652.jpg']","[0.7648, 0.6872, 0.67]"
