caption_idx,caption,ground_truth_image,actual_rank_of_gt,gt_score,top1_score,score_gap,predicted_top3_images,predicted_top3_scores
0,a child playing on a rope net,1007320043_627395c3d8.jpg,-1,0.5799,0.7953,0.2154,"['514222303_cb98584536.jpg', '510510783_b2cf5d57bb.jpg', '2707873672_15e6b5d54b.jpg']","[0.7953, 0.7241, 0.7139]"
1,a little girl climbing on red roping,1007320043_627395c3d8.jpg,3,0.7464,0.8163,0.0699,"['493109089_468e105233.jpg', '444057017_f1e0fcaef7.jpg', '1007320043_627395c3d8.jpg']","[0.8163, 0.81, 0.7464]"
2,a little girl in pink climbs a rope bridge at the park,1007320043_627395c3d8.jpg,9,0.6412,0.7594,0.1182,"['510510783_b2cf5d57bb.jpg', '444057017_f1e0fcaef7.jpg', '2979914158_5906470b8f.jpg']","[0.7594, 0.7193, 0.6806]"
3,a small child grips onto the red ropes at the playground,1007320043_627395c3d8.jpg,4,0.6551,0.7088,0.0537,"['3317960829_78bbfafbb6.jpg', '2597737483_6518a230e4.jpg', '693785581_68bec8312a.jpg']","[0.7088, 0.7052, 0.6601]"
4,the small child climbs on a red ropes on a playground,1007320043_627395c3d8.jpg,-1,0.5656,0.7764,0.2108,"['2597737483_6518a230e4.jpg', '2046222127_a6f300e202.jpg', '350443876_c9769f5734.jpg']","[0.7764, 0.6887, 0.638]"
9,a black dog carrying something through the grass,1026685415_0431cbf574.jpg,6,0.7514,0.8964,0.145,"['689776124_07f560a920.jpg', '2445783904_e6c38a3a3d.jpg', '333973142_abcd151002.jpg']","[0.8964, 0.8415, 0.8298]"
12,a man puts his shirt on near an elevator,1057210460_09c6f4c6c1.jpg,-1,0.0842,0.6954,0.6112,"['397601572_9587a39291.jpg', '3091962081_194f2f3bd4.jpg', '2525666287_638ab5e784.jpg']","[0.6954, 0.6848, 0.6813]"
13,a man stands by an elevator with his head down,1057210460_09c6f4c6c1.jpg,6,0.583,0.6548,0.0718,"['2437266971_b91a8f9a00.jpg', '862187579_9faf4a51e0.jpg', '1418019748_51c7d59c11.jpg']","[0.6548, 0.6458, 0.6416]"
14,the man is putting on his shirt near an elevator,1057210460_09c6f4c6c1.jpg,7,0.636,0.7741,0.1381,"['1414820925_3504c394e1.jpg', '2328104318_5a43ca170c.jpg', '2448393373_80c011d301.jpg']","[0.7741, 0.7211, 0.7034]"
15,a skier pauses on a mountaintop,106514190_bae200f463.jpg,3,0.7994,0.8088,0.0094,"['224273695_0b517bd0eb.jpg', '2109911919_af45b93ef3.jpg', '106514190_bae200f463.jpg']","[0.8088, 0.8084, 0.7994]"
16,a skier is overlooking a snowcovered mountain,106514190_bae200f463.jpg,4,0.8251,0.904,0.0788,"['3166578139_33500f7e8a.jpg', '3621647714_fc67ab2617.jpg', '2109911919_af45b93ef3.jpg']","[0.904, 0.9039, 0.8338]"
17,a skier is overlooking the beautiful white snow covered landscape,106514190_bae200f463.jpg,6,0.7109,0.8876,0.1767,"['3621647714_fc67ab2617.jpg', '3166578139_33500f7e8a.jpg', '3338217927_3c5cf3f7c6.jpg']","[0.8876, 0.816, 0.7536]"
18,a hiker standing high on a bluff overlooking the mountains below,106514190_bae200f463.jpg,-1,0.471,0.8751,0.404,"['455611732_d65bf3e976.jpg', '2098174172_e57d86ea03.jpg', '58368365_03ed3e5bdf.jpg']","[0.8751, 0.8429, 0.8151]"
19,a person on ski s looks from hill over snow covered landscape,106514190_bae200f463.jpg,-1,0.5129,0.8449,0.332,"['3357416302_fcfcdd7b86.jpg', '3012513414_86180c44cb.jpg', '3241965735_8742782a70.jpg']","[0.8449, 0.7607, 0.7292]"
20,a white and black dog and a brown dog in sandy terrain,1067790824_f3cc97239b.jpg,5,0.7308,0.8778,0.147,"['3415809168_af9dabdba5.jpg', '453756106_711c20471a.jpg', '496555371_3e1ee0d97d.jpg']","[0.8778, 0.8657, 0.832]"
21,a woolly dog chases a doberman on a beach,1067790824_f3cc97239b.jpg,10,0.6095,0.758,0.1485,"['3070031806_3d587c2a66.jpg', '254527963_3f5824b0e8.jpg', '566921157_07c18a41e2.jpg']","[0.758, 0.7439, 0.7202]"
22,one dog is chasing another one on the beach,1067790824_f3cc97239b.jpg,-1,0.5628,0.8599,0.2971,"['496555371_3e1ee0d97d.jpg', '3070031806_3d587c2a66.jpg', '566921157_07c18a41e2.jpg']","[0.8599, 0.8154, 0.7751]"
23,the two large dogs are running through sand,1067790824_f3cc97239b.jpg,-1,0.5524,0.8271,0.2748,"['496555371_3e1ee0d97d.jpg', '2434006663_207a284cec.jpg', '566921157_07c18a41e2.jpg']","[0.8271, 0.8132, 0.7671]"
24,two large dogs chasing each other at the beach,1067790824_f3cc97239b.jpg,9,0.6291,0.8318,0.2027,"['2434006663_207a284cec.jpg', '566921157_07c18a41e2.jpg', '496555371_3e1ee0d97d.jpg']","[0.8318, 0.8145, 0.8013]"
25,a boy is covered in bubbles,1075881101_d55c46bece.jpg,-1,0.1657,0.702,0.5364,"['3517362674_0f5296de19.jpg', '3338291921_fe7ae0c8f8.jpg', '1308472581_9961782889.jpg']","[0.702, 0.6394, 0.6281]"
26,a person covered in soapy water is getting cleaned off,1075881101_d55c46bece.jpg,-1,0.2486,0.7793,0.5307,"['2704934519_457dc38986.jpg', '1159574340_99ba8c3c59.jpg', '3058627443_1d57ff0a2c.jpg']","[0.7793, 0.6971, 0.6896]"
27,a child covered in foam is climbing on a black inflatable ramp,1075881101_d55c46bece.jpg,-1,0.1937,0.7589,0.5652,"['2597737483_6518a230e4.jpg', '3150315970_8f045c41a4.jpg', '640409060_6af18fdd54.jpg']","[0.7589, 0.6978, 0.6834]"
28,a boy covered in suds has his face wiped clean,1075881101_d55c46bece.jpg,-1,0.5018,0.6959,0.1941,"['1860543210_47e94cf652.jpg', '860928274_744d14f198.jpg', '3405113041_4b72c24801.jpg']","[0.6959, 0.6711, 0.6556]"
29,a boy cleans the bubbles off his face,1075881101_d55c46bece.jpg,-1,0.3185,0.6913,0.3728,"['3517362674_0f5296de19.jpg', '2735792721_b8fe85e803.jpg', '3338291921_fe7ae0c8f8.jpg']","[0.6913, 0.6222, 0.5889]"
31,a large white dog lying on the floor,1084040636_97d9633581.jpg,3,0.7914,0.8713,0.0799,"['2550109269_bc4262bd27.jpg', '3439982121_0afc6d5973.jpg', '1084040636_97d9633581.jpg']","[0.8713, 0.84, 0.7914]"
32,a white dog has its head on the ground,1084040636_97d9633581.jpg,2,0.7602,0.7818,0.0216,"['416106657_cab2a107a5.jpg', '1084040636_97d9633581.jpg', '1932161768_996eadac87.jpg']","[0.7818, 0.7602, 0.6924]"
34,a white dog rests its head on the patio bricks,1084040636_97d9633581.jpg,2,0.7958,0.8351,0.0393,"['2550109269_bc4262bd27.jpg', '1084040636_97d9633581.jpg', '2702506716_17a7fb3ba4.jpg']","[0.8351, 0.7958, 0.7276]"
35,woman n blue jacket sits on daft horse near a frozen lake,109202756_b97fcdc62c.jpg,2,0.7373,0.7583,0.0211,"['1234293791_6566284bcd.jpg', '109202756_b97fcdc62c.jpg', '942399470_6132d3e5d2.jpg']","[0.7583, 0.7373, 0.6932]"
36,a woman rides a horse near a frozen lake in the wintertime,109202756_b97fcdc62c.jpg,4,0.7526,0.8309,0.0783,"['1234293791_6566284bcd.jpg', '2656987333_80dcc82c05.jpg', '3138562460_44227a35cf.jpg']","[0.8309, 0.8303, 0.7999]"
38,a woman in a blue jacket rides a brown pony near water,109202756_b97fcdc62c.jpg,3,0.6141,0.6498,0.0357,"['2084217208_7bd9bc85e5.jpg', '3705688385_47651205d3.jpg', '109202756_b97fcdc62c.jpg']","[0.6498, 0.6208, 0.6141]"
40,a woman in a blue dress stands with a chalk portrait of two children playing by a stream,1093737381_b313cd49ff.jpg,-1,0.0836,0.707,0.6234,"['1248357227_2b4175fc39.jpg', '3637013_c675de7705.jpg', '2852982055_8112d0964f.jpg']","[0.707, 0.6175, 0.6115]"
41,a woman standing in front of a chalk drawing,1093737381_b313cd49ff.jpg,-1,0.2476,0.676,0.4285,"['374124237_51f62b6937.jpg', '2504277798_936a09c74d.jpg', '3213395965_2a823c6865.jpg']","[0.676, 0.6602, 0.6477]"
42,a woman stands next to a chalk drawing in front of a barnlike structure,1093737381_b313cd49ff.jpg,-1,0.2888,0.7632,0.4744,"['2504277798_936a09c74d.jpg', '3106340185_80d0cb770a.jpg', '3503011427_a4ee547c77.jpg']","[0.7632, 0.7406, 0.6634]"
43,a woman stands outside near an elaborate chalk illustration,1093737381_b313cd49ff.jpg,9,0.5678,0.6997,0.1319,"['2504277798_936a09c74d.jpg', '3503011427_a4ee547c77.jpg', '3543378438_47e2712486.jpg']","[0.6997, 0.68, 0.628]"
44,a woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk,1093737381_b313cd49ff.jpg,-1,0.315,0.6876,0.3726,"['1332208215_fa824f6659.jpg', '3661659196_6ed90f96c0.jpg', '617038406_4092ee91dd.jpg']","[0.6876, 0.6598, 0.6416]"
45,a young boy is jumping through water being sprayed up from the ground,1095476286_87d4f8664e.jpg,4,0.6585,0.7646,0.1061,"['2937697444_2367ff0e28.jpg', '2410618963_fb78307d18.jpg', '195962284_e57178054a.jpg']","[0.7646, 0.7576, 0.6965]"
46,a little boy playing in the water,1095476286_87d4f8664e.jpg,-1,0.5308,0.8239,0.2931,"['1308472581_9961782889.jpg', '3208074567_ac44aeb3f3.jpg', '3666537170_c4ecda4be8.jpg']","[0.8239, 0.7612, 0.6733]"
48,a boy plays in the fountains,1095476286_87d4f8664e.jpg,3,0.7724,0.7845,0.0122,"['1308472581_9961782889.jpg', '2410618963_fb78307d18.jpg', '1095476286_87d4f8664e.jpg']","[0.7845, 0.7738, 0.7724]"
50,a black and white dog drinking water from a water spray,1096097967_ac305887b4.jpg,-1,0.6168,0.7655,0.1487,"['2209496328_2a34fd201d.jpg', '2339946012_06bd480ab8.jpg', '3695949492_27ca3892fd.jpg']","[0.7655, 0.7461, 0.7337]"
51,a black and white dog is being soaked with a jet of water in a blue paddling pool,1096097967_ac305887b4.jpg,3,0.7445,0.785,0.0405,"['2677656448_6b7e7702af.jpg', '3712742641_641282803e.jpg', '1096097967_ac305887b4.jpg']","[0.785, 0.7553, 0.7445]"
52,a dog sticking its face into the shower from a garden hose,1096097967_ac305887b4.jpg,-1,0.3056,0.6667,0.3611,"['3595643050_d312e4b652.jpg', '1095476286_87d4f8664e.jpg', '3052196390_c59dd24ca8.jpg']","[0.6667, 0.6613, 0.6469]"
53,a small white dog gets sprayed by water,1096097967_ac305887b4.jpg,-1,0.3405,0.7886,0.4481,"['2100046085_69b59b6645.jpg', '2865376471_43c5e6b941.jpg', '3224578187_749882c17f.jpg']","[0.7886, 0.6423, 0.6404]"
54,a white and black dog is jumping into a pool,1096097967_ac305887b4.jpg,5,0.7021,0.747,0.0449,"['2677656448_6b7e7702af.jpg', '2461616306_3ee7ac1b4b.jpg', '1236964638_1808784a3c.jpg']","[0.747, 0.7434, 0.7223]"
56,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building,109823397_e35154645f.jpg,-1,0.2796,0.7775,0.4978,"['3686924335_3c51e8834a.jpg', '3329169877_175cb16845.jpg', '3519815055_304dc8e8d6.jpg']","[0.7775, 0.7033, 0.676]"
58,a man on a fourwheeler jumps near a small building,109823397_e35154645f.jpg,-1,0.456,0.7572,0.3012,"['2328104318_5a43ca170c.jpg', '3686924335_3c51e8834a.jpg', '2565350330_c7f305e7f7.jpg']","[0.7572, 0.7067, 0.6612]"
60,a boy carrying a soccer ball,1104133405_c04a00707f.jpg,5,0.7295,0.7896,0.0601,"['2962977152_9d6958fdd5.jpg', '3506607642_40037b3fbf.jpg', '3363836972_c87b58c948.jpg']","[0.7896, 0.7751, 0.7737]"
62,a boy walks with a soccer ball near a fence,1104133405_c04a00707f.jpg,2,0.6658,0.7318,0.066,"['2107838729_a527e434bd.jpg', '1104133405_c04a00707f.jpg', '278608022_4175813019.jpg']","[0.7318, 0.6658, 0.6585]"
63,a boy wearing a white tshirt walks on the grass and carries a soccer ball,1104133405_c04a00707f.jpg,2,0.7854,0.7979,0.0126,"['278608022_4175813019.jpg', '1104133405_c04a00707f.jpg', '3363836972_c87b58c948.jpg']","[0.7979, 0.7854, 0.7519]"
64,small boy carries a soccer ball on a field,1104133405_c04a00707f.jpg,3,0.7311,0.7542,0.0231,"['3363836972_c87b58c948.jpg', '2962977152_9d6958fdd5.jpg', '1104133405_c04a00707f.jpg']","[0.7542, 0.7397, 0.7311]"
66,a man climbs a rocky wall,111537222_07e56d5a30.jpg,7,0.6207,0.9044,0.2837,"['415793623_6c1225ae27.jpg', '486917990_72bd4069af.jpg', '236095031_5cb17dc54a.jpg']","[0.9044, 0.8023, 0.7731]"
67,a rock climber climbs a large rock,111537222_07e56d5a30.jpg,-1,0.3656,0.7629,0.3972,"['466956675_a2fb6bf901.jpg', '2480832276_fa55480ecb.jpg', '236095031_5cb17dc54a.jpg']","[0.7629, 0.7018, 0.68]"
68,a woman in purple snakeskin pants climbs a rock,111537222_07e56d5a30.jpg,-1,0.3604,0.7841,0.4237,"['236095031_5cb17dc54a.jpg', '2623560640_0445c9a138.jpg', '136639119_6040b00946.jpg']","[0.7841, 0.7312, 0.7139]"
70,a child playing with a fountain at the beach,1115565519_d976d4b1f1.jpg,-1,0.4042,0.7592,0.3551,"['1427391496_ea512cbe7f.jpg', '2456907314_49bc4591c4.jpg', '2903617548_d3e38d7f88.jpg']","[0.7592, 0.7301, 0.6668]"
71,a child plays with a fountain,1115565519_d976d4b1f1.jpg,-1,0.1911,0.7662,0.5751,"['1308472581_9961782889.jpg', '1095476286_87d4f8664e.jpg', '3767841911_6678052eb6.jpg']","[0.7662, 0.7239, 0.6987]"
72,a girl looks at a fountain that sprays water,1115565519_d976d4b1f1.jpg,-1,0.3033,0.6625,0.3592,"['2504277798_936a09c74d.jpg', '2030781555_b7ff7be28f.jpg', '2685752892_9d5cd7f274.jpg']","[0.6625, 0.647, 0.6451]"
73,a little girl playing in water on a frog sculpture,1115565519_d976d4b1f1.jpg,-1,0.135,0.7482,0.6132,"['2594459477_8ca0121a9a.jpg', '2522467011_cc825d89ac.jpg', '444057017_f1e0fcaef7.jpg']","[0.7482, 0.7092, 0.6604]"
74,the little girl is playing with a toy in a public fountain,1115565519_d976d4b1f1.jpg,-1,0.2886,0.6697,0.3811,"['1308472581_9961782889.jpg', '3767841911_6678052eb6.jpg', '2903617548_d3e38d7f88.jpg']","[0.6697, 0.6633, 0.6495]"
76,two dogs in the ocean playing with a toy,1129704496_4a61441f2c.jpg,2,0.7781,0.7834,0.0053,"['2632381125_de32bdfdf6.jpg', '1129704496_4a61441f2c.jpg', '2434006663_207a284cec.jpg']","[0.7834, 0.7781, 0.6849]"
77,two dogs run through the water with a rope in their mouths,1129704496_4a61441f2c.jpg,2,0.805,0.8151,0.0101,"['2632381125_de32bdfdf6.jpg', '1129704496_4a61441f2c.jpg', '481827288_a688be7913.jpg']","[0.8151, 0.805, 0.7382]"
79,a brown and white and a black and white dog hauling in a floating toy from the ocean,1129704496_4a61441f2c.jpg,7,0.6074,0.7197,0.1123,"['2369248869_0266760c4a.jpg', '2696394827_7342ced36f.jpg', '2984174290_a915748d77.jpg']","[0.7197, 0.6515, 0.6491]"
81,two brown dogs in the water,1130401779_8c30182e3e.jpg,2,0.8473,0.8871,0.0398,"['2632381125_de32bdfdf6.jpg', '1130401779_8c30182e3e.jpg', '481827288_a688be7913.jpg']","[0.8871, 0.8473, 0.8344]"
82,two brown dogs running through water,1130401779_8c30182e3e.jpg,2,0.8432,0.8467,0.0035,"['481827288_a688be7913.jpg', '1130401779_8c30182e3e.jpg', '1129704496_4a61441f2c.jpg']","[0.8467, 0.8432, 0.6906]"
83,two brown dogs runs through the water,1130401779_8c30182e3e.jpg,2,0.8404,0.8585,0.0181,"['481827288_a688be7913.jpg', '1130401779_8c30182e3e.jpg', '1129704496_4a61441f2c.jpg']","[0.8585, 0.8404, 0.7103]"
84,two dogs splash through the water,1130401779_8c30182e3e.jpg,-1,0.6489,0.8546,0.2057,"['2289212650_69de7a20b2.jpg', '481827288_a688be7913.jpg', '1129704496_4a61441f2c.jpg']","[0.8546, 0.8043, 0.7563]"
86,a white and brown dog shaking its self dry,1131800850_89c7ffd477.jpg,4,0.6533,0.6885,0.0352,"['453756106_711c20471a.jpg', '1067790824_f3cc97239b.jpg', '3155501473_510f9c9f6b.jpg']","[0.6885, 0.6634, 0.6552]"
87,a furry dog attempts to dry itself by shaking the water off its coat,1131800850_89c7ffd477.jpg,5,0.6108,0.6888,0.078,"['909808296_23c427022d.jpg', '1096097967_ac305887b4.jpg', '2428275562_4bde2bc5ea.jpg']","[0.6888, 0.6839, 0.6647]"
88,a dog is looking at something near the water,1131800850_89c7ffd477.jpg,-1,0.3738,0.7535,0.3796,"['967719295_3257695095.jpg', '2281006675_fde04e93dd.jpg', '2115849046_2aa9fa8d13.jpg']","[0.7535, 0.7352, 0.7016]"
89,a brown and white dog stands outside while it snows,1131800850_89c7ffd477.jpg,10,0.5768,0.7094,0.1326,"['2620113705_a8fa89b8f6.jpg', '3098714492_19939e3b19.jpg', '2259203920_6b93b721ce.jpg']","[0.7094, 0.6832, 0.661]"
90,a child jumping into a lake in a wooded area while another child plays on the shore,1159574340_99ba8c3c59.jpg,-1,0.4872,0.7543,0.267,"['186890601_8a6b0f1769.jpg', '2797438951_88a3ed7541.jpg', '2594459477_8ca0121a9a.jpg']","[0.7543, 0.7098, 0.6142]"
91,a child jumps into the water with his sneakers on,1159574340_99ba8c3c59.jpg,9,0.5339,0.7799,0.246,"['2797438951_88a3ed7541.jpg', '3690425778_3b390b3ea5.jpg', '3741827382_71e93298d0.jpg']","[0.7799, 0.6312, 0.6247]"
92,a kid jumping into a pool of water,1159574340_99ba8c3c59.jpg,-1,0.5106,0.8801,0.3695,"['2461616306_3ee7ac1b4b.jpg', '1236964638_1808784a3c.jpg', '3009018821_ba47396e24.jpg']","[0.8801, 0.8583, 0.777]"
