image,caption
1001773457_577c3a7d70.jpg,a black dog and a spotted dog are fighting
1001773457_577c3a7d70.jpg,a black dog and a tricolored dog playing with each other on the road
1001773457_577c3a7d70.jpg,a black dog and a white dog with brown spots are staring at each other in the street
1001773457_577c3a7d70.jpg,two dogs of different breeds looking at each other on the road
1001773457_577c3a7d70.jpg,two dogs on pavement moving toward each other
1003163366_44323f5815.jpg,a man lays on a bench while his dog sits by him
1003163366_44323f5815.jpg,a man lays on the bench to which a white dog is also tied
1003163366_44323f5815.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him
1003163366_44323f5815.jpg,a shirtless man lies on a park bench with his dog
1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground
1007129816_e794419615.jpg,a man in an orange hat starring at something
1007129816_e794419615.jpg,a man wears an orange hat and glasses
1007129816_e794419615.jpg,a man with gauges and glasses is wearing a blitz hat
1007129816_e794419615.jpg,a man with glasses is wearing a beer can crocheted hat
1007129816_e794419615.jpg,the man with pierced ears is wearing glasses and an orange hat
1015118661_980735411b.jpg,a boy smiles in front of a stony wall in a city
1015118661_980735411b.jpg,a little boy is standing on the street while a man in overalls is working on a stone wall
1015118661_980735411b.jpg,a young boy runs aross the street
1015118661_980735411b.jpg,a young child is walking on a stone paved street with a metal pole and a man behind him
1015118661_980735411b.jpg,smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him
1015584366_dfcec3c85a.jpg,a black dog leaps over a log
1015584366_dfcec3c85a.jpg,a grey dog is leaping over a fallen tree
1015584366_dfcec3c85a.jpg,a large black dog leaps a fallen log
1015584366_dfcec3c85a.jpg,a mottled black and grey dog in a blue collar jumping over a fallen tree
1015584366_dfcec3c85a.jpg,the black dog jumped the tree stump
101654506_8eb26cfb60.jpg,a brown and white dog is running through the snow
101654506_8eb26cfb60.jpg,a dog is running in the snow
101654506_8eb26cfb60.jpg,a dog running through snow
101654506_8eb26cfb60.jpg,a white and brown dog is running through a snow covered field
101654506_8eb26cfb60.jpg,the white and brown dog is running over the surface of the snow
101669240_b2d3e7f17b.jpg,a man in a hat is displaying pictures next to a skier in a blue hat
101669240_b2d3e7f17b.jpg,a man skis past another man displaying paintings in the snow
101669240_b2d3e7f17b.jpg,a person wearing skis looking at framed pictures set up in the snow
101669240_b2d3e7f17b.jpg,a skier looks at framed pictures in the snow next to trees
101669240_b2d3e7f17b.jpg,man on skis looking at artwork for sale in the snow
1016887272_03199f49c4.jpg,a collage of one person climbing a cliff
1016887272_03199f49c4.jpg,a group of people are rock climbing on a rock climbing wall
1016887272_03199f49c4.jpg,a group of people climbing a rock while one man belays
1016887272_03199f49c4.jpg,seven climbers are ascending a rock face whilst another man stands holding the rope
1016887272_03199f49c4.jpg,several climbers in a row are climbing the rock while the man in red watches and holds the line
1019077836_6fc9b15408.jpg,a brown dog chases the water from a sprinkler on a lawn
1019077836_6fc9b15408.jpg,a brown dog plays with the hose
1019077836_6fc9b15408.jpg,a brown dog running on a lawn near a garden hose
1019077836_6fc9b15408.jpg,a dog is playing with a hose
1019077836_6fc9b15408.jpg,large brown dog running away from the sprinkler in the grass
1020651753_06077ec457.jpg,a black and white dog jumping in the air to get a toy
1020651753_06077ec457.jpg,a black and white dog jumps up towards a yellow toy
1020651753_06077ec457.jpg,a dog leaps to catch a ball in a field
1020651753_06077ec457.jpg,a white dog is trying to catch a ball in midair over a grassy field
1020651753_06077ec457.jpg,the white dog is playing in a green field with a yellow toy
1022454332_6af2c1449a.jpg,a child and a woman are at waters edge in a big city
1022454332_6af2c1449a.jpg,a large lake with a lone duck swimming in it with several people around the edge of it
1022454332_6af2c1449a.jpg,a little boy at a lake watching a duck
1022454332_6af2c1449a.jpg,a young boy waves his hand at the duck in the water surrounded by a green park
1022454332_6af2c1449a.jpg,two people are at the edge of a lake facing the water and the city skyline
1022454428_b6b660a67b.jpg,a couple and an infant being held by the male sitting next to a pond with a near by stroller
1022454428_b6b660a67b.jpg,a couple sit on the grass with a baby and stroller
1022454428_b6b660a67b.jpg,a couple with their newborn baby sitting under a tree facing a lake
1022454428_b6b660a67b.jpg,a man and woman care for an infant along the side of a body of water
1022454428_b6b660a67b.jpg,couple with a baby sit outdoors next to their stroller
1022975728_75515238d8.jpg,a black dog running in the surf
1022975728_75515238d8.jpg,a black lab with tags frolicks in the water
1022975728_75515238d8.jpg,a dog splashes in the water
1022975728_75515238d8.jpg,the black dog runs through the water
1022975728_75515238d8.jpg,this is a black dog splashing in the water
102351840_323e3de834.jpg,a man drilling a hole in the ice
102351840_323e3de834.jpg,a man is drilling through the frozen ice of a pond
102351840_323e3de834.jpg,a person in the snow drilling a hole in the ice
102351840_323e3de834.jpg,a person standing on a frozen lake
102351840_323e3de834.jpg,two men are ice fishing
102455176_5f8ead62d5.jpg,a man uses ice picks and crampons to scale ice
102455176_5f8ead62d5.jpg,an ice climber in a blue jacket and black pants is scaling a frozen ice wall
102455176_5f8ead62d5.jpg,an ice climber scaling a frozen waterfall
102455176_5f8ead62d5.jpg,a person in blue and red ice climbing with two picks
102455176_5f8ead62d5.jpg,climber climbing an ice wall
1030985833_b0902ea560.jpg,a black dog and a brown dog are jumping up to catch a red toy
1030985833_b0902ea560.jpg,a black dog and a brown dog play with a red toy on a courtyard
1030985833_b0902ea560.jpg,a brown and black lab are outside and the black lab is catching a toy in its mouth
1030985833_b0902ea560.jpg,black dog snaps at red and black object as brown dog lunges
1030985833_b0902ea560.jpg,the chocolate lab jumps too late to get the toy as the black lab captures it in the driveway
103195344_5d2dc613a3.jpg,a man in black is sitting next to a modern art structure in front of a glass building
103195344_5d2dc613a3.jpg,a man sits and reads a newspaper by a sculpture outside of an office building
103195344_5d2dc613a3.jpg,a man sits near a large statue
103195344_5d2dc613a3.jpg,a man sitting in front of a metal sculpture in front of a building
103195344_5d2dc613a3.jpg,the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading
1032122270_ea6f0beedb.jpg,a woman crouches near three dogs in a field
1032122270_ea6f0beedb.jpg,three dogs are playing on grassy hill with a blue sky
1032122270_ea6f0beedb.jpg,three dogs are standing in the grass and a person is sitting next to them
1032122270_ea6f0beedb.jpg,three dogs on a grassy hill
1032122270_ea6f0beedb.jpg,three dogs stand in a grassy field while a person kneels nearby
1032460886_4a598ed535.jpg,a man is standing in front of a skyscraper
1032460886_4a598ed535.jpg,a man stands in front of a skyscraper
1032460886_4a598ed535.jpg,a man stands in front of a very tall building
1032460886_4a598ed535.jpg,behind the man in a red shirt stands a large skyscraper
1032460886_4a598ed535.jpg,there is a skyscraper in the distance with a man walking in front of the camera
1034276567_49bb87c51c.jpg,a boy bites hard into a treat while he sits outside
1034276567_49bb87c51c.jpg,a child biting into a baked good
1034276567_49bb87c51c.jpg,a small boy putting something in his mouth with both hands
1034276567_49bb87c51c.jpg,the boy eats his food outside at the table
1034276567_49bb87c51c.jpg,the boy is eating pizza over a tin dish
104136873_5b5d41be75.jpg,people sit on the mountainside and check out the view
104136873_5b5d41be75.jpg,three people are on a hilltop overlooking a green valley
104136873_5b5d41be75.jpg,three people hang out on top of a big hill
104136873_5b5d41be75.jpg,three people overlook a green valley
104136873_5b5d41be75.jpg,three people rest on a ledge above the moutains
1042020065_fb3d3ba5ba.jpg,a boy in a green shirt is looking down at many inflatable boats
1042020065_fb3d3ba5ba.jpg,a boy in a green shirt watches kayakers
1042020065_fb3d3ba5ba.jpg,a boy looks over a railing at the many boats and rafts below in the water
1042020065_fb3d3ba5ba.jpg,a young boy overlooking a crowd of inflatable boats
1042020065_fb3d3ba5ba.jpg,a young boy wearing a jersey looks down over a ledge at many boats in the water
1045521051_108ebc19be.jpg,a person eats takeout while watching a small television
1045521051_108ebc19be.jpg,a person sits on the floor and eats in front of a television
1045521051_108ebc19be.jpg,a television with a picture of a girl on it
1045521051_108ebc19be.jpg,a young man sits on the floor by the television with a fast food meal in front of him
1045521051_108ebc19be.jpg,someone is laying in front of the tv eating food
1052358063_eae6744153.jpg,a boy takes a jump on his skateboard while another boy with a skateboard watches
1052358063_eae6744153.jpg,a child is performing a skateboard trick while another child with a skateboard leans on a wall
1052358063_eae6744153.jpg,a little boy skateboarder is doing a trick on his board while another young skateboarder watches
1052358063_eae6744153.jpg,a young boy skateboarder jumping on a platform on a skateboard
1052358063_eae6744153.jpg,two skateboarders
105342180_4d4a40b47f.jpg,a girl paddling down a large river as seen from behind her
105342180_4d4a40b47f.jpg,a woman kayaking down a river
105342180_4d4a40b47f.jpg,a woman paddles a boat down a river
105342180_4d4a40b47f.jpg,a woman with a paddle
105342180_4d4a40b47f.jpg,a woman with a paddle sits in a boat on the water
1053804096_ad278b25f1.jpg,a girl in pigtails splashes in the shallow water
1053804096_ad278b25f1.jpg,a girls plays in the surf
1053804096_ad278b25f1.jpg,a girl with pigtails is playing in the ocean by the beach
1053804096_ad278b25f1.jpg,a girl with pigtails plays in the water
1053804096_ad278b25f1.jpg,a young girl in pigtails plays in the water
1055623002_8195a43714.jpg,a group of four children wearing pajamas have a pillow fight
1055623002_8195a43714.jpg,a group of kids have a pillowfight
1055623002_8195a43714.jpg,a group of young children playing pillow fight on a bed
1055623002_8195a43714.jpg,children having a pillow fight
1055623002_8195a43714.jpg,four children are having a pillow fight
1055753357_4fa3d8d693.jpg,two constructions workers sit on a beam taking a break
1055753357_4fa3d8d693.jpg,two construction workers are sitting up on the side of a building
1055753357_4fa3d8d693.jpg,two construction workers sitting on an ibeam
1055753357_4fa3d8d693.jpg,two construction workers take a seat on a steel beam
1055753357_4fa3d8d693.jpg,two men take a break from construction
1056249424_ef2a2e041c.jpg,the children are playing in the water
1056249424_ef2a2e041c.jpg,two boys one with a yellow and orange ball play in some water in front of a field
1056249424_ef2a2e041c.jpg,two boys play in a puddle
1056249424_ef2a2e041c.jpg,two children play with a balloon in mud on a sunny day
1056249424_ef2a2e041c.jpg,two kids are running and playing in some water
1056338697_4f7d7ce270.jpg,a blond woman in a blue shirt appears to wait for a ride
1056338697_4f7d7ce270.jpg,a blond woman is on the street hailing a taxi
1056338697_4f7d7ce270.jpg,a woman is signaling is to traffic as seen from behind
1056338697_4f7d7ce270.jpg,a woman with blonde hair wearing a blue tube top is waving on the side of the street
1056338697_4f7d7ce270.jpg,the woman in the blue dress is holding out her arm at oncoming traffic
1056359656_662cee0814.jpg,a little girl looking at a brochure on train rides
1056359656_662cee0814.jpg,a young blond girl with a magizine in her hands
1056359656_662cee0814.jpg,a young girl on a train reads a book about train rides
1056359656_662cee0814.jpg,a young girl sits on a seat and looks at a train pamphlet
1056359656_662cee0814.jpg,child sitting down looking at train ride brochure
1057089366_ca83da0877.jpg,a boy descends off the end of a high diving board
1057089366_ca83da0877.jpg,a child jumps off a high diving board into the pool
1057089366_ca83da0877.jpg,a kid jumps off the diving board and into the swimming pool below
1057089366_ca83da0877.jpg,a little kid is jumping off a high dive at the pool
1057089366_ca83da0877.jpg,the boy is jumping off a high diving board into the pool
1057251835_6ded4ada9c.jpg,a lightcolored dog runs on the beach
1057251835_6ded4ada9c.jpg,a small yellow dog runs on a beach
1057251835_6ded4ada9c.jpg,a tan dog runs on a sandy beach
1057251835_6ded4ada9c.jpg,a white dog is running down a rocky beach
1057251835_6ded4ada9c.jpg,light brown dog running along the beach
106490881_5a2dd9b7bd.jpg,a boy in his blue swim shorts at the beach
106490881_5a2dd9b7bd.jpg,a boy smiles for the camera at a beach
106490881_5a2dd9b7bd.jpg,a young boy in swimming trunks is walking with his arms outstretched on the beach
106490881_5a2dd9b7bd.jpg,children playing on the beach
106490881_5a2dd9b7bd.jpg,the boy is playing on the shore of an ocean
1067180831_a59dc64344.jpg,a black and white dog is attempting to catch a yellow and purple object in a low cut yard
1067180831_a59dc64344.jpg,a black and white dog jumps after a yellow toy
1067180831_a59dc64344.jpg,a black and white dog jumps to get the frisbee
1067180831_a59dc64344.jpg,a black dog is jumping up to catch a purple and green toy
1067180831_a59dc64344.jpg,a dog jumps to catch a toy
1067675215_7336a694d6.jpg,a man in blue shorts is laying in the street
