caption_idx,caption,ground_truth_image,actual_rank_of_gt,gt_score,top1_score,score_gap,predicted_top3_images,predicted_top3_scores
0,a child playing on a rope net,1007320043_627395c3d8.jpg,-1,0.4795,0.6555,0.1759,"['2884252132_5d8e776893.jpg', '186890601_8a6b0f1769.jpg', '2458269558_277012780d.jpg']","[0.6555, 0.631, 0.6195]"
1,a little girl climbing on red roping,1007320043_627395c3d8.jpg,2,0.6915,0.7228,0.0313,"['2197275664_fabcf3424b.jpg', '1007320043_627395c3d8.jpg', '444057017_f1e0fcaef7.jpg']","[0.7228, 0.6915, 0.6765]"
2,a little girl in pink climbs a rope bridge at the park,1007320043_627395c3d8.jpg,3,0.6702,0.7018,0.0316,"['493109089_468e105233.jpg', '2935703360_4f794f7f09.jpg', '1007320043_627395c3d8.jpg']","[0.7018, 0.6808, 0.6702]"
11,a man in a tank top stands next to a chrome door,1057210460_09c6f4c6c1.jpg,-1,0.1768,0.5933,0.4166,"['2456907314_49bc4591c4.jpg', '2046222127_a6f300e202.jpg', '1348947380_14f0fc1237.jpg']","[0.5933, 0.4928, 0.4717]"
12,a man puts his shirt on near an elevator,1057210460_09c6f4c6c1.jpg,2,0.6137,0.6834,0.0696,"['518789868_8895ef8792.jpg', '1057210460_09c6f4c6c1.jpg', '350443876_c9769f5734.jpg']","[0.6834, 0.6137, 0.5591]"
13,a man stands by an elevator with his head down,1057210460_09c6f4c6c1.jpg,2,0.5714,0.6612,0.0899,"['518789868_8895ef8792.jpg', '1057210460_09c6f4c6c1.jpg', '397601572_9587a39291.jpg']","[0.6612, 0.5714, 0.5494]"
14,the man is putting on his shirt near an elevator,1057210460_09c6f4c6c1.jpg,2,0.5918,0.6636,0.0718,"['518789868_8895ef8792.jpg', '1057210460_09c6f4c6c1.jpg', '3348208268_6d97d951eb.jpg']","[0.6636, 0.5918, 0.5567]"
16,a skier is overlooking a snowcovered mountain,106514190_bae200f463.jpg,2,0.8241,0.8307,0.0066,"['3166578139_33500f7e8a.jpg', '106514190_bae200f463.jpg', '3621647714_fc67ab2617.jpg']","[0.8307, 0.8241, 0.7977]"
17,a skier is overlooking the beautiful white snow covered landscape,106514190_bae200f463.jpg,2,0.7535,0.7648,0.0113,"['3621647714_fc67ab2617.jpg', '106514190_bae200f463.jpg', '56494233_1824005879.jpg']","[0.7648, 0.7535, 0.7304]"
18,a hiker standing high on a bluff overlooking the mountains below,106514190_bae200f463.jpg,-1,0.5989,0.7927,0.1938,"['2098174172_e57d86ea03.jpg', '530888330_a18343e38d.jpg', '3340575518_137ce2695f.jpg']","[0.7927, 0.7384, 0.7258]"
19,a person on ski s looks from hill over snow covered landscape,106514190_bae200f463.jpg,3,0.7737,0.8499,0.0761,"['3621647714_fc67ab2617.jpg', '3166578139_33500f7e8a.jpg', '106514190_bae200f463.jpg']","[0.8499, 0.797, 0.7737]"
20,a white and black dog and a brown dog in sandy terrain,1067790824_f3cc97239b.jpg,8,0.6217,0.6896,0.0679,"['2427558437_3e839056d7.jpg', '453756106_711c20471a.jpg', '2428275562_4bde2bc5ea.jpg']","[0.6896, 0.6772, 0.6521]"
21,a woolly dog chases a doberman on a beach,1067790824_f3cc97239b.jpg,6,0.6065,0.689,0.0825,"['2407470303_6fd5e3600d.jpg', '3673165148_67f217064f.jpg', '2714220101_c31db50b10.jpg']","[0.689, 0.6863, 0.6195]"
22,one dog is chasing another one on the beach,1067790824_f3cc97239b.jpg,-1,0.5492,0.8125,0.2634,"['3070031806_3d587c2a66.jpg', '3585488964_1467945775.jpg', '496555371_3e1ee0d97d.jpg']","[0.8125, 0.777, 0.7502]"
23,the two large dogs are running through sand,1067790824_f3cc97239b.jpg,-1,0.5608,0.7838,0.2229,"['496555371_3e1ee0d97d.jpg', '3070031806_3d587c2a66.jpg', '3248408149_41a8dd90d3.jpg']","[0.7838, 0.7304, 0.7195]"
24,two large dogs chasing each other at the beach,1067790824_f3cc97239b.jpg,7,0.5955,0.8297,0.2343,"['3070031806_3d587c2a66.jpg', '496555371_3e1ee0d97d.jpg', '3585488964_1467945775.jpg']","[0.8297, 0.7896, 0.7714]"
25,a boy is covered in bubbles,1075881101_d55c46bece.jpg,-1,0.2534,0.5744,0.321,"['3767841911_6678052eb6.jpg', '3517362674_0f5296de19.jpg', '2505360288_c972bd29c4.jpg']","[0.5744, 0.5244, 0.4927]"
26,a person covered in soapy water is getting cleaned off,1075881101_d55c46bece.jpg,-1,0.2679,0.5137,0.2458,"['2704934519_457dc38986.jpg', '353180303_6a24179c50.jpg', '374124237_51f62b6937.jpg']","[0.5137, 0.4946, 0.4593]"
27,a child covered in foam is climbing on a black inflatable ramp,1075881101_d55c46bece.jpg,-1,-0.0067,0.7035,0.7103,"['2542037086_58c833699c.jpg', '542317719_ed4dd95dc2.jpg', '444057017_f1e0fcaef7.jpg']","[0.7035, 0.6244, 0.5877]"
28,a boy covered in suds has his face wiped clean,1075881101_d55c46bece.jpg,-1,0.3134,0.6286,0.3151,"['3412249548_00820fc4ca.jpg', '543264612_c53cc163b4.jpg', '3716277216_c04002be81.jpg']","[0.6286, 0.6089, 0.5305]"
29,a boy cleans the bubbles off his face,1075881101_d55c46bece.jpg,-1,0.3929,0.6037,0.2108,"['353180303_6a24179c50.jpg', '3613030730_0b28b079ba.jpg', '3517362674_0f5296de19.jpg']","[0.6037, 0.5908, 0.5872]"
31,a large white dog lying on the floor,1084040636_97d9633581.jpg,5,0.6261,0.7093,0.0832,"['2702506716_17a7fb3ba4.jpg', '351876121_c7c0221928.jpg', '2550109269_bc4262bd27.jpg']","[0.7093, 0.652, 0.6518]"
33,a white dog is resting its head on a tiled floor with its eyes open,1084040636_97d9633581.jpg,2,0.6464,0.6826,0.0362,"['2702506716_17a7fb3ba4.jpg', '1084040636_97d9633581.jpg', '2550109269_bc4262bd27.jpg']","[0.6826, 0.6464, 0.6281]"
34,a white dog rests its head on the patio bricks,1084040636_97d9633581.jpg,-1,0.5283,0.6376,0.1093,"['2702506716_17a7fb3ba4.jpg', '3310067561_b92017acab.jpg', '2095444126_201ff9f222.jpg']","[0.6376, 0.6261, 0.5719]"
40,a woman in a blue dress stands with a chalk portrait of two children playing by a stream,1093737381_b313cd49ff.jpg,-1,0.2811,0.4822,0.2011,"['3217893350_57be430d06.jpg', '3404552106_f516df0f5b.jpg', '3589367895_5d3729e3ea.jpg']","[0.4822, 0.4717, 0.4512]"
41,a woman standing in front of a chalk drawing,1093737381_b313cd49ff.jpg,-1,0.317,0.6257,0.3087,"['3451344589_6787bd06ef.jpg', '3701226275_952547ba0f.jpg', '432167214_c17fcc1a2d.jpg']","[0.6257, 0.567, 0.5129]"
42,a woman stands next to a chalk drawing in front of a barnlike structure,1093737381_b313cd49ff.jpg,-1,0.3475,0.5861,0.2386,"['3451344589_6787bd06ef.jpg', '3345025842_bc2082a509.jpg', '782401952_5bc5d3413a.jpg']","[0.5861, 0.5575, 0.4893]"
43,a woman stands outside near an elaborate chalk illustration,1093737381_b313cd49ff.jpg,-1,0.2789,0.67,0.3911,"['3451344589_6787bd06ef.jpg', '432167214_c17fcc1a2d.jpg', '3345025842_bc2082a509.jpg']","[0.67, 0.554, 0.5205]"
44,a woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk,1093737381_b313cd49ff.jpg,5,0.422,0.5793,0.1573,"['782401952_5bc5d3413a.jpg', '3345025842_bc2082a509.jpg', '489773343_a8aecf7db3.jpg']","[0.5793, 0.5724, 0.4365]"
45,a young boy is jumping through water being sprayed up from the ground,1095476286_87d4f8664e.jpg,6,0.601,0.7408,0.1398,"['3052196390_c59dd24ca8.jpg', '3208074567_ac44aeb3f3.jpg', '2937697444_2367ff0e28.jpg']","[0.7408, 0.6824, 0.679]"
46,a little boy playing in the water,1095476286_87d4f8664e.jpg,-1,0.4168,0.7278,0.311,"['3208074567_ac44aeb3f3.jpg', '3666537170_c4ecda4be8.jpg', '2107838729_a527e434bd.jpg']","[0.7278, 0.7237, 0.6893]"
47,a child plays in a fountain,1095476286_87d4f8664e.jpg,3,0.7892,0.7982,0.009,"['506882688_b37d549593.jpg', '3052196390_c59dd24ca8.jpg', '1095476286_87d4f8664e.jpg']","[0.7982, 0.7932, 0.7892]"
48,a boy plays in the fountains,1095476286_87d4f8664e.jpg,2,0.7659,0.8286,0.0628,"['506882688_b37d549593.jpg', '1095476286_87d4f8664e.jpg', '3052196390_c59dd24ca8.jpg']","[0.8286, 0.7659, 0.7619]"
49,a boy jumping in a fountain,1095476286_87d4f8664e.jpg,3,0.6957,0.7513,0.0556,"['506882688_b37d549593.jpg', '3052196390_c59dd24ca8.jpg', '1095476286_87d4f8664e.jpg']","[0.7513, 0.7246, 0.6957]"
50,a black and white dog drinking water from a water spray,1096097967_ac305887b4.jpg,-1,0.5217,0.6335,0.1118,"['3712742641_641282803e.jpg', '2574230252_f5a1382dd4.jpg', '3655773435_c234e94820.jpg']","[0.6335, 0.6078, 0.5997]"
51,a black and white dog is being soaked with a jet of water in a blue paddling pool,1096097967_ac305887b4.jpg,3,0.7047,0.8097,0.105,"['3712742641_641282803e.jpg', '3655773435_c234e94820.jpg', '1096097967_ac305887b4.jpg']","[0.8097, 0.7551, 0.7047]"
52,a dog sticking its face into the shower from a garden hose,1096097967_ac305887b4.jpg,-1,0.4449,0.6365,0.1916,"['3224578187_749882c17f.jpg', '431410325_f4916b5460.jpg', '2574230252_f5a1382dd4.jpg']","[0.6365, 0.6244, 0.6232]"
53,a small white dog gets sprayed by water,1096097967_ac305887b4.jpg,-1,0.4266,0.6888,0.2622,"['2100046085_69b59b6645.jpg', '3401902253_cd27e6d0fe.jpg', '2550109269_bc4262bd27.jpg']","[0.6888, 0.637, 0.6319]"
54,a white and black dog is jumping into a pool,1096097967_ac305887b4.jpg,-1,0.4947,0.7719,0.2772,"['1178705300_c224d9a4f1.jpg', '2687328779_b4356dab16.jpg', '3655773435_c234e94820.jpg']","[0.7719, 0.6962, 0.6335]"
58,a man on a fourwheeler jumps near a small building,109823397_e35154645f.jpg,-1,0.4483,0.6382,0.1899,"['3323988406_e3c8fce690.jpg', '3293018193_e4e0c8db7c.jpg', '3240351042_5d29c94b0e.jpg']","[0.6382, 0.6036, 0.5844]"
61,a boy walks with a ball tucked under his arm,1104133405_c04a00707f.jpg,2,0.7235,0.7476,0.0241,"['1269470943_ba7fc49b4d.jpg', '1104133405_c04a00707f.jpg', '3177298173_78cea31d64.jpg']","[0.7476, 0.7235, 0.6596]"
62,a boy walks with a soccer ball near a fence,1104133405_c04a00707f.jpg,5,0.6757,0.7633,0.0875,"['3506607642_40037b3fbf.jpg', '3538021517_b930dc76fc.jpg', '278608022_4175813019.jpg']","[0.7633, 0.7448, 0.737]"
66,a man climbs a rocky wall,111537222_07e56d5a30.jpg,6,0.6253,0.7995,0.1742,"['415793623_6c1225ae27.jpg', '950273886_88c324e663.jpg', '236095031_5cb17dc54a.jpg']","[0.7995, 0.7762, 0.7296]"
67,a rock climber climbs a large rock,111537222_07e56d5a30.jpg,7,0.6825,0.8449,0.1624,"['236095031_5cb17dc54a.jpg', '466956675_a2fb6bf901.jpg', '415793623_6c1225ae27.jpg']","[0.8449, 0.7899, 0.7804]"
68,a woman in purple snakeskin pants climbs a rock,111537222_07e56d5a30.jpg,7,0.5411,0.7049,0.1638,"['236095031_5cb17dc54a.jpg', '466956675_a2fb6bf901.jpg', '486917990_72bd4069af.jpg']","[0.7049, 0.6065, 0.599]"
69,person with blue helmet and purple pants is rock climbing,111537222_07e56d5a30.jpg,4,0.7952,0.8494,0.0543,"['466956675_a2fb6bf901.jpg', '236095031_5cb17dc54a.jpg', '415793623_6c1225ae27.jpg']","[0.8494, 0.8258, 0.7956]"
70,a child playing with a fountain at the beach,1115565519_d976d4b1f1.jpg,-1,0.217,0.622,0.405,"['2704934519_457dc38986.jpg', '1095476286_87d4f8664e.jpg', '1308472581_9961782889.jpg']","[0.622, 0.5729, 0.5655]"
71,a child plays with a fountain,1115565519_d976d4b1f1.jpg,-1,0.1051,0.8078,0.7027,"['3052196390_c59dd24ca8.jpg', '506882688_b37d549593.jpg', '1095476286_87d4f8664e.jpg']","[0.8078, 0.79, 0.7881]"
72,a girl looks at a fountain that sprays water,1115565519_d976d4b1f1.jpg,-1,0.2759,0.7236,0.4477,"['3052196390_c59dd24ca8.jpg', '506882688_b37d549593.jpg', '1095476286_87d4f8664e.jpg']","[0.7236, 0.71, 0.6676]"
73,a little girl playing in water on a frog sculpture,1115565519_d976d4b1f1.jpg,-1,0.3504,0.6758,0.3253,"['2594459477_8ca0121a9a.jpg', '2704934519_457dc38986.jpg', '758921886_55a351dd67.jpg']","[0.6758, 0.6357, 0.6355]"
74,the little girl is playing with a toy in a public fountain,1115565519_d976d4b1f1.jpg,-1,0.1177,0.6978,0.5801,"['3052196390_c59dd24ca8.jpg', '1095476286_87d4f8664e.jpg', '506882688_b37d549593.jpg']","[0.6978, 0.6799, 0.5962]"
77,two dogs run through the water with a rope in their mouths,1129704496_4a61441f2c.jpg,5,0.6275,0.6836,0.0561,"['481827288_a688be7913.jpg', '2289212650_69de7a20b2.jpg', '2244024374_54d7e88c2b.jpg']","[0.6836, 0.6829, 0.6662]"
78,both dogs retrieve the play toy from the water,1129704496_4a61441f2c.jpg,2,0.729,0.7429,0.014,"['2209496328_2a34fd201d.jpg', '1129704496_4a61441f2c.jpg', '1439282131_3814d6ae04.jpg']","[0.7429, 0.729, 0.6878]"
79,a brown and white and a black and white dog hauling in a floating toy from the ocean,1129704496_4a61441f2c.jpg,3,0.4992,0.6345,0.1353,"['2209496328_2a34fd201d.jpg', '535529555_583d89b7f2.jpg', '1129704496_4a61441f2c.jpg']","[0.6345, 0.54, 0.4992]"
81,two brown dogs in the water,1130401779_8c30182e3e.jpg,6,0.729,0.8095,0.0805,"['481827288_a688be7913.jpg', '2220175999_081aa9cce8.jpg', '2244024374_54d7e88c2b.jpg']","[0.8095, 0.7861, 0.7696]"
82,two brown dogs running through water,1130401779_8c30182e3e.jpg,2,0.7604,0.7787,0.0182,"['481827288_a688be7913.jpg', '1130401779_8c30182e3e.jpg', '2244024374_54d7e88c2b.jpg']","[0.7787, 0.7604, 0.7285]"
83,two brown dogs runs through the water,1130401779_8c30182e3e.jpg,2,0.7239,0.7678,0.0439,"['481827288_a688be7913.jpg', '1130401779_8c30182e3e.jpg', '2244024374_54d7e88c2b.jpg']","[0.7678, 0.7239, 0.6745]"
84,two dogs splash through the water,1130401779_8c30182e3e.jpg,3,0.746,0.7618,0.0158,"['2289212650_69de7a20b2.jpg', '481827288_a688be7913.jpg', '1130401779_8c30182e3e.jpg']","[0.7618, 0.7577, 0.746]"
88,a dog is looking at something near the water,1131800850_89c7ffd477.jpg,-1,0.4296,0.6831,0.2535,"['2220175999_081aa9cce8.jpg', '967719295_3257695095.jpg', '2115849046_2aa9fa8d13.jpg']","[0.6831, 0.6556, 0.638]"
89,a brown and white dog stands outside while it snows,1131800850_89c7ffd477.jpg,9,0.5433,0.7706,0.2273,"['421808539_57abee6d55.jpg', '3338291921_fe7ae0c8f8.jpg', '341430859_4519802e8f.jpg']","[0.7706, 0.6551, 0.6203]"
90,a child jumping into a lake in a wooded area while another child plays on the shore,1159574340_99ba8c3c59.jpg,-1,0.304,0.6628,0.3588,"['3690425778_3b390b3ea5.jpg', '1248357227_2b4175fc39.jpg', '3637013_c675de7705.jpg']","[0.6628, 0.6247, 0.6152]"
